;691;5123;CONSTRUCCION Y MANTENIMIENTO DE OBRAS VIALES Y TOPOGRAFIA;8;;
;691;5124;IDEA Y DISENO DE EDIFICIOS;7;;
;691;5125;EVALUCACION TECNICA Y COMERCIAL DE EDIFICIOS;7;;
;691;5126;IDEA Y DISENO DE LA ESCTRUCTURA DE EDIFICIOS;7;;
;691;5127;ESTRUCTURA SISMORESISTENTE;10;;
;695;4861;MARCO JURIDICO;;;
;695;4862;GESTION DE LOS PROCESOS PRODUCTIVOS;;;
;695;4863;EDUCACION FISICA;;;
;695;4864;LENGUA EXTRANJERA INGLES TECNICO;;;
;695;4865;MODELIZACION DE SISTEMAS ELECTROMECANICOS;;;
;695;4866;DISEÑO Y MANTENIMIENTO DE INSTALACIONES Y EQUIPOS MECANICOS;;;
;695;4867;DISEÑO Y MANTENIMIENTO DE INSTALACIONES Y EQUIPOS ELECTRICOS-ELECTRONICOS;;;
;695;4868;PROYECTO ELECTROMECANICO;;;
;695;4869;AUTOMATIZACON Y CONTROL;;;
;695;4870;LABORATORIO Y ENSAYOS ELECTROMECANICOS II;;;
;695;4871;PRACTICAS PROFESIONALIZANTES II;;;
;696;4848;MANTENIMIENTO, CONVERSION Y REPARACION DE SOFTWARE;;;
;696;4849;MANTENIMIENTO Y MANEJOS DE DATOS;;;
;696;4850;GESTION Y COMERCIALIZACION DE SERVICIOS INFORMATICOS;;;
;696;4851;MARCO JURIDICO;;;
;696;4852;GESTION DE LOS PROCESOS PRODUCTIVOS;;;
;696;4853;ESTADISTICA;;;
;696;4854;PROGRAMACION APLICADA;;;
;696;4855;DISEÑO DE APLICACIONES INFORMATICAS II;;;
;696;4856;LABORATORIO DE HARDWARE;;;
;696;4857;LABORATORIO DE SOFTWARE;;;
;696;4858;PRACTICAS PROFESIONALIZANTES;;;
;696;4859;EDUCACION FISICA;;;
;696;4860;LENGUA EXTRANJERA INGLES TECNICO;;;
;697;5118;MARCO JURIDICO;8;;
;697;5119;EDUCACION FISICA;8;;
;697;5120;LENGUA EXTRANJERA INGLES TECNICO;7;;
;697;5121;PRACTICAS PROFESIONALIZANTES;;;
;697;5122;ADMINISTRACION Y CONDUCCION DE OBRAS;7;;
;697;5123;CONSTRUCCION Y MANTENIMIENTO DE OBRAS VIALES Y TOPOGRAFIA;7;;
;697;5124;IDEA Y DISENO DE EDIFICIOS;6;;
;697;5125;EVALUCACION TECNICA Y COMERCIAL DE EDIFICIOS;7;;
;697;5126;IDEA Y DISENO DE LA ESCTRUCTURA DE EDIFICIOS;7;;
